"reporting_country","month","clade","cases"
"India",2022-07-01,"No clade",4
"India",2022-08-01,"No clade",6
"India",2022-09-01,"No clade",8
"India",2022-10-01,"No clade",1
"India",2022-11-01,"No clade",4
"India",2023-01-01,"No clade",1
"India",2023-02-01,"No clade",1
"India",2023-05-01,"No clade",1
"India",2023-06-01,"No clade",1
"India",2024-09-01,"clade ib",1
"India",2024-09-01,"clade iib",2
"India",2024-12-01,"clade ib",2
"India",2024-12-01,"clade iib",1
"India",2025-01-01,"clade iib",3
"India",2025-02-01,"clade ib",5
"India",2025-03-01,"clade ib",2
"Indonesia",2022-08-01,"No clade",1
"Indonesia",2023-10-01,"No clade",29
"Indonesia",2023-11-01,"No clade",30
"Indonesia",2023-12-01,"No clade",13
"Indonesia",2024-01-01,"No clade",7
"Indonesia",2024-02-01,"No clade",5
"Indonesia",2024-04-01,"No clade",1
"Indonesia",2024-05-01,"No clade",1
"Indonesia",2024-06-01,"No clade",1
"Nepal",2023-06-01,"No clade",1
"Nepal",2024-12-01,"clade iib a.2.1.",2
"Sri Lanka",2022-11-01,"No clade",2
"Sri Lanka",2023-06-01,"No clade",2
"Thailand",2022-07-01,"wa",2
"Thailand",2022-08-01,"wa",5
"Thailand",2022-09-01,"wa",3
"Thailand",2022-10-01,"wa",2
"Thailand",2022-12-01,"wa",2
"Thailand",2023-01-01,"wa",1
"Thailand",2023-03-01,"wa",4
"Thailand",2023-04-01,"wa",3
"Thailand",2023-05-01,"No clade",17
"Thailand",2023-05-01,"wa",5
"Thailand",2023-06-01,"No clade",52
"Thailand",2023-06-01,"wa",4
"Thailand",2023-07-01,"No clade",74
"Thailand",2023-07-01,"wa",6
"Thailand",2023-08-01,"No clade",151
"Thailand",2023-09-01,"No clade",149
"Thailand",2023-10-01,"No clade",115
"Thailand",2023-11-01,"No clade",60
"Thailand",2023-12-01,"No clade",33
"Thailand",2024-01-01,"No clade",34
"Thailand",2024-02-01,"No clade",25
"Thailand",2024-03-01,"No clade",10
"Thailand",2024-04-01,"No clade",18
"Thailand",2024-05-01,"No clade",21
"Thailand",2024-06-01,"No clade",8
"Thailand",2024-07-01,"No clade",17
"Thailand",2024-08-01,"No clade",11
"Thailand",2024-08-01,"clade ib",1
"Thailand",2024-09-01,"No clade",8
"Thailand",2024-10-01,"No clade",15
"Thailand",2024-11-01,"No clade",5
"Thailand",2024-12-01,"No clade",1
"Thailand",2025-01-01,"clade ib",3
"Thailand",2025-01-01,"clade ii (subclade unknown)",3
"Thailand",2025-03-01,"clade ii (subclade unknown)",5
"Thailand",2025-04-01,"clade ib",1
"Thailand",2025-04-01,"clade ii (subclade unknown)",8
"All Countries",2022-07-01,"No clade",1
"All Countries",2022-07-01,"wa",1
"All Countries",2022-08-01,"No clade",2
"All Countries",2022-08-01,"wa",1
"All Countries",2022-09-01,"No clade",1
"All Countries",2022-09-01,"wa",1
"All Countries",2022-10-01,"No clade",1
"All Countries",2022-10-01,"wa",1
"All Countries",2022-11-01,"No clade",2
"All Countries",2022-12-01,"wa",1
"All Countries",2023-01-01,"No clade",1
"All Countries",2023-01-01,"wa",1
"All Countries",2023-02-01,"No clade",1
"All Countries",2023-03-01,"wa",1
"All Countries",2023-04-01,"wa",1
"All Countries",2023-05-01,"No clade",2
"All Countries",2023-05-01,"wa",1
"All Countries",2023-06-01,"No clade",4
"All Countries",2023-06-01,"wa",1
"All Countries",2023-07-01,"No clade",1
"All Countries",2023-07-01,"wa",1
"All Countries",2023-08-01,"No clade",1
"All Countries",2023-09-01,"No clade",1
"All Countries",2023-10-01,"No clade",2
"All Countries",2023-11-01,"No clade",2
"All Countries",2023-12-01,"No clade",2
"All Countries",2024-01-01,"No clade",2
"All Countries",2024-02-01,"No clade",2
"All Countries",2024-03-01,"No clade",1
"All Countries",2024-04-01,"No clade",2
"All Countries",2024-05-01,"No clade",2
"All Countries",2024-06-01,"No clade",2
"All Countries",2024-07-01,"No clade",1
"All Countries",2024-08-01,"No clade",1
"All Countries",2024-08-01,"clade ib",1
"All Countries",2024-09-01,"No clade",1
"All Countries",2024-09-01,"clade ib",1
"All Countries",2024-09-01,"clade iib",1
"All Countries",2024-10-01,"No clade",1
"All Countries",2024-11-01,"No clade",1
"All Countries",2024-12-01,"No clade",1
"All Countries",2024-12-01,"clade ib",1
"All Countries",2024-12-01,"clade iib",1
"All Countries",2024-12-01,"clade iib a.2.1.",1
"All Countries",2025-01-01,"clade ib",1
"All Countries",2025-01-01,"clade ii (subclade unknown)",1
"All Countries",2025-01-01,"clade iib",1
"All Countries",2025-02-01,"clade ib",1
"All Countries",2025-03-01,"clade ib",1
"All Countries",2025-03-01,"clade ii (subclade unknown)",1
"All Countries",2025-04-01,"clade ib",1
"All Countries",2025-04-01,"clade ii (subclade unknown)",1
