"Country","year","confirmed_cases","deaths","cfr"
"Bangladesh",2001,13,9,0.692307692307692
"Bangladesh",2002,0,0,0
"Bangladesh",2003,12,8,0.666666666666667
"Bangladesh",2004,67,50,0.746268656716418
"Bangladesh",2005,12,11,0.916666666666667
"Bangladesh",2006,0,0,0
"Bangladesh",2007,18,9,0.5
"Bangladesh",2008,11,7,0.636363636363636
"Bangladesh",2009,4,1,0.25
"Bangladesh",2010,18,16,0.888888888888889
"Bangladesh",2011,43,37,0.86046511627907
"Bangladesh",2012,17,12,0.705882352941177
"Bangladesh",2013,31,25,0.806451612903226
"Bangladesh",2014,37,16,0.432432432432432
"Bangladesh",2015,15,11,0.733333333333333
"Bangladesh",2016,0,0,0
"Bangladesh",2017,3,2,0.666666666666667
"Bangladesh",2018,4,2,0.5
"Bangladesh",2019,8,7,0.875
"Bangladesh",2020,7,5,0.714285714285714
"Bangladesh",2021,2,0,0
"Bangladesh",2022,3,2,0.666666666666667
"Bangladesh",2023,13,10,0.769230769230769
"Bangladesh",2024,5,5,1
"Bangladesh",2025,4,4,1
"Bangladesh",2026,1,1,1
"India",2001,66,45,0.681818181818182
"India",2002,0,0,0
"India",2003,0,0,0
"India",2004,0,0,0
"India",2005,0,0,0
"India",2006,0,0,0
"India",2007,5,5,1
"India",2008,0,0,0
"India",2009,0,0,0
"India",2010,0,0,0
"India",2011,0,0,0
"India",2012,0,0,0
"India",2013,0,0,0
"India",2014,0,0,0
"India",2015,0,0,0
"India",2016,0,0,0
"India",2017,0,0,0
"India",2018,18,16,0.888888888888889
"India",2019,1,0,0
"India",2020,0,0,0
"India",2021,1,1,1
"India",2022,0,0,0
"India",2023,6,2,0.333333333333333
"India",2024,1,1,1
"India",2025,4,2,0.5
"India",2026,2,1,0.5
